Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Serebrovasküler Kaza,dizartri,bitkinlik,konuşma bozukluğu,kısmi yüz felci,hemipleji
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Tip 1 Diyabet,sık idrara çıkma,artan susuzluk,kilo kaybı,,
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Yüksek Ateş,yüksek vücut ısısı,,,,
Depresyon,üzüntü,umutsuzluk,aktivitelere ilgi kaybı,iştahtaki değişiklikler,uyumak
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Serebrovasküler Kaza,dizartri,bitkinlik,konuşma bozukluğu,kısmi yüz felci,hemipleji
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
İntihar Girişimi,işitsel halüsinasyonlar,uykusuzluk,intihara meyilli,motor kaslarda yavaşlama,ağlamak
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Periferik Damar Hastalığı,nefes darlığı,dinlenirken ağrı durumu,göğüs ağrısı,tepkisizlik,hiperkalemi
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Gıda Alerjisi,döküntü,kaşıntı,şişme,nefes almada zorluk,sindirim sistemi ile ilgili semptomlar
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
Koroner Arterioskleroz,göğüs ağrısı,nefes darlığı,hamlık,ter,göğüste baskı
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Serebrovasküler Kaza,dizartri,bitkinlik,konuşma bozukluğu,kısmi yüz felci,hemipleji
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Kovid,yorgunluk,yüksek ateş,öksürük,tat kaybı,koku kaybı
Yüksek Ateş,yüksek vücut ısısı,,,,
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Bipolar Bozukluk,aşırı ruh hali değişimleri,manito depresyonu,intihara meyilli hissetmek,artan enerji,intihara meyilli
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Üst Solunum Yolu Enfeksiyonu,nefes darlığı,öksürük,boğaz ağrısı,hırıltı,zor nefes alma
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Kolit,ateş,kalınlaşmak,yeşil balgam,kusma,mide bulantısı ve kusma
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
Pamukçuk,ishal,boğaz ağrısı,vücut ağırlığının azalması,üşümek,baş ağrısı
İskemi,göğüs ağrısı,nefes darlığı,uyuklama,göğüste baskı,göğüs rahatsızlığı
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Akciğer Embolisi,nefes darlığı,kanda düşük oksijen,çok hızlı solunum,kan hücresi azalması,göğüs ağrısı
Böbrek Yetmezliği,nefes darlığı,yorgunluk,dik durma haricinde nefes darlığı,idrar tutamama,tansiyon düşüklüğü
Kıl Kurdu Enfeksiyonu,anüs veya vajina çevresinde kaşıntı,huzursuz uyku,sinirlilik,anal veya vajinal akıntı,karın ağrısı veya rahatsızlık
Panik Atak,nefes darlığı,çarpıntı hissi,göğüs ağrısı,terlemek,titreme
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
Dehidrasyon,baygınlık,ateş,ishal,kusma,tansiyon düşüklüğü
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
Akciğer Embolisi,nefes darlığı,kanda düşük oksijen,çok hızlı solunum,kan hücresi azalması,göğüs ağrısı
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Aort Kapağı Darlığı,göğüs ağrısı,eforla nefes darlığı,baygınlık,göğüs rahatsızlığı,sistolik üfürüm
Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Karsinom,vücut yapısının büyümesi,ağrı,doku bozukluğu,tümör hücresinin yayılması,kalınlaşmak
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Dehidrasyon,baygınlık,ateş,ishal,kusma,tansiyon düşüklüğü
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Endokardit,plöretik ağrı,kalınlaşmak,adele ağrısı,düşük ateş,gece terlemesi
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
Sanrı,bilinç kaybı,değişken ruh hali,umutsuz hissetmek,ajitasyon,işitsel halüsinasyonlar
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Dang Humması,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Yüksek Ateş,yüksek vücut ısısı,,,,
Kan Zehirlenmesi,ateş,solunumda zayıflık,tansiyon düşüklüğü,çok hızlı solunum,üşümek
Panik Atak,nefes darlığı,çarpıntı hissi,göğüs ağrısı,terlemek,titreme
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Hiperbilirubinemi,siyanoz,çok hızlı solunum,para test 1,düşük nabız,makat prezantasyonu
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Manik Bozukluk,intihara meyilli,intihara meyilli hissetmek,artan enerji,aşırı uyku,beyazlama
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı
Hiperkolesterolemi,nefes darlığı,ağrı,göğüs ağrısı,ter,sigara içmemek
Hemartroz,eklem şişmesi,ağrı,sıcaklık,sınırlı hareket açıklığı,
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Gıda Alerjisi,döküntü,kaşıntı,şişme,nefes almada zorluk,sindirim sistemi ile ilgili semptomlar
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Bronşit,nefes darlığı,öksürük,hırıltı,mukus üretimi,göğüs ağrısı
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,
Osteomiyelit,ağrı,kızarıklık,prostat hassaslığı,ateş,idrarı yapma zorluğu
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
Triküspit Kapak Yetmezliği,nefes darlığı,ağrı,kusma,mide bulantısı,düşük nabız
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
